Project,Ramp_Name,Min_Operable_Elev_ft,Datum,Notes
BIG CLIFF LAKE NEAR NIAGARA,,,,"one row per ramp; delete this row once filled"
BLUE RIVER LAKE NEAR BLUE RIVER,,,,
COTTAGE GROVE LAKE NR COTTAGE GROVE,,,,
COUGAR LAKE NEAR RAINBOW,,,,
DETROIT LAKE NEAR DETROIT,,,,
DEXTER LAKE AT DEXTER,,,,
DORENA LAKE NEAR COTTAGE GROVE,,,,
FALL CREEK LAKE NEAR LOWELL,,,,
FERN RIDGE LAKE NEAR ELMIRA,,,,
FOSTER LAKE AT FOSTER,,,,
GREEN PETER LAKE NEAR FOSTER,,,,
HILLS CREEK LAKE NEAR OAKRIDGE,,,,
LOOKOUT POINT LAKE NEAR LOWELL,,,,
