Reservoir,Forebay_Site,Forebay_Name,Outflow_Site,Outflow_Name,Confidence,Notes
Hills Creek,14145100,"HILLS CREEK LAKE NEAR OAKRIDGE, OR",14145500,"MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE, OR",High,"600 ft downstream of Hills Creek at the right end of the dam; record from Aug 1961"
Lookout Point,14149000,"LOOKOUT POINT LAKE NEAR LOWELL, OR",14150000,"MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR",Medium,"No discharge gauge between Lookout Point and Dexter. 14149011 below Lookout Point is a TDG/water-quality gauge. Shares the Dexter gauge; daily volumes match, hourly do not (Dexter re-regulates power peaking)"
Dexter,14149500,"DEXTER LAKE AT DEXTER, OR",14150000,"MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR",High,"2.6 mi downstream of Dexter Dam; record from Oct 1946"
Fall Creek,14150900,"FALL CREEK LAKE NEAR LOWELL, OR",14151000,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",High,"First gauge below Fall Creek Dam; picks up Winberry Creek inflow"
Cottage Grove,14153000,"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",14153500,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",High,"Named for the dam; drainage 104 sq mi"
Dorena,14155000,"DORENA LAKE NEAR COTTAGE GROVE, OR",14155500,"ROW RIVER NEAR COTTAGE GROVE, OR",High,"Row River below Dorena Dam"
Cougar,14159400,"COUGAR LAKE NEAR RAINBOW, OR",14159500,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",High,"Drainage 208 sq mi vs 208 at dam; 14159200 is the above-lake gauge"
Blue River,14162100,"BLUE RIVER LAKE NEAR BLUE RIVER, OR",14162200,"BLUE RIVER AT BLUE RIVER, OR",High,"14162000 Blue River nr Blue River is the above-lake gauge - do not confuse"
Fern Ridge,14168000,"FERN RIDGE LAKE NEAR ELMIRA, OR",14169000,"LONG TOM RIVER NEAR ALVADORE, OR",High,"RM 24, directly below Fern Ridge Dam"
Detroit,14180500,"DETROIT LAKE NEAR DETROIT, OR",14180520,"N SANTIAM RIVER BLW DETROIT DAM, NR DETROIT, OR",Low,"VERIFY. Period of record and whether 00060 is published are unconfirmed. Fallback is 14181500 at Niagara, which is below Big Cliff and so is the combined Detroit+Big Cliff release"
Big Cliff,14181400,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",High,"0.5 mi below Big Cliff Dam; drainage 453 sq mi; long record"
Green Peter,14186100,"GREEN PETER LAKE NEAR FOSTER, OR",14186200,"MIDDLE SANTIAM R BLW GREEN PETER DAM NR FOSTER, OR",Medium,"VERIFY period of record - this station may post-date the 20-year window. Discharges into Foster Lake"
Foster,14186600,"FOSTER LAKE AT FOSTER, OR",14187200,"SOUTH SANTIAM RIVER NEAR FOSTER, OR",High,"Drainage 557 sq mi vs 494 at Foster Dam; 14187500 at Waterloo is further downstream"
