project,year,ramps,days_observed,ramp_days,potential,pct_of_potential,complete
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2016,2,319,214,372,57.526881720430104,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2017,2,316,338,370,91.35135135135135,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2018,2,318,192,372,51.61290322580645,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2019,2,318,224,372,60.215053763440864,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2020,2,319,332,372,89.24731182795699,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2021,2,313,141,370,38.108108108108105,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2022,2,318,368,372,98.9247311827957,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2023,2,318,310,372,83.33333333333333,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2024,2,319,329,372,88.44086021505376,True
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2025,2,318,282,372,75.80645161290323,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2016,2,319,462,486,95.06172839506173,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2017,2,318,496,485,102.26804123711341,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2018,2,316,460,483,95.23809523809524,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2019,2,318,449,485,92.57731958762886,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2020,2,319,485,486,99.79423868312757,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2021,2,318,313,485,64.5360824742268,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2022,2,318,477,485,98.35051546391753,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2023,2,318,467,485,96.28865979381443,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2024,2,319,487,486,100.20576131687243,True
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2025,2,318,423,485,87.21649484536083,True
"COUGAR LAKE NEAR RAINBOW, OR",2016,2,318,0,406,0.0,True
"COUGAR LAKE NEAR RAINBOW, OR",2017,2,318,352,408,86.27450980392157,True
"COUGAR LAKE NEAR RAINBOW, OR",2018,2,318,104,408,25.49019607843137,True
"COUGAR LAKE NEAR RAINBOW, OR",2019,2,318,102,408,25.0,True
"COUGAR LAKE NEAR RAINBOW, OR",2020,2,319,272,408,66.66666666666667,True
"COUGAR LAKE NEAR RAINBOW, OR",2021,2,318,96,408,23.529411764705884,True
"COUGAR LAKE NEAR RAINBOW, OR",2022,2,314,36,408,8.823529411764707,True
"COUGAR LAKE NEAR RAINBOW, OR",2023,2,317,0,406,0.0,True
"COUGAR LAKE NEAR RAINBOW, OR",2024,2,319,4,408,0.9803921568627451,True
"COUGAR LAKE NEAR RAINBOW, OR",2025,2,318,0,408,0.0,True
"DETROIT LAKE NEAR DETROIT, OR",2016,7,319,950,1335,71.16104868913858,True
"DETROIT LAKE NEAR DETROIT, OR",2017,7,318,1439,1334,107.87106446776612,True
"DETROIT LAKE NEAR DETROIT, OR",2018,7,318,1098,1334,82.3088455772114,True
"DETROIT LAKE NEAR DETROIT, OR",2019,7,318,1086,1334,81.40929535232384,True
"DETROIT LAKE NEAR DETROIT, OR",2020,7,319,1032,1335,77.30337078651685,True
"DETROIT LAKE NEAR DETROIT, OR",2021,7,318,655,1334,49.100449775112445,True
"DETROIT LAKE NEAR DETROIT, OR",2022,7,318,1271,1334,95.27736131934033,True
"DETROIT LAKE NEAR DETROIT, OR",2023,7,318,888,1334,66.56671664167916,True
"DETROIT LAKE NEAR DETROIT, OR",2024,7,319,1148,1335,85.99250936329588,True
"DETROIT LAKE NEAR DETROIT, OR",2025,7,318,1025,1334,76.83658170914542,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2016,3,318,464,614,75.57003257328991,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2017,3,318,632,614,102.93159609120521,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2018,3,316,490,612,80.06535947712419,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2019,3,317,483,611,79.050736497545,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2020,3,315,611,603,101.32669983416253,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2021,3,318,318,614,51.79153094462541,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2022,3,318,636,614,103.58306188925081,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2023,3,318,562,614,91.53094462540717,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2024,3,319,617,615,100.32520325203252,True
"DORENA LAKE NEAR COTTAGE GROVE, OR",2025,3,318,460,614,74.9185667752443,True
"FALL CREEK LAKE NEAR LOWELL, OR",2016,3,318,348,509,68.36935166994107,True
"FALL CREEK LAKE NEAR LOWELL, OR",2017,3,316,472,511,92.36790606653621,True
"FALL CREEK LAKE NEAR LOWELL, OR",2018,3,314,356,508,70.07874015748031,True
"FALL CREEK LAKE NEAR LOWELL, OR",2019,3,306,383,475,80.63157894736842,False
"FALL CREEK LAKE NEAR LOWELL, OR",2020,3,301,414,499,82.96593186372745,False
"FALL CREEK LAKE NEAR LOWELL, OR",2021,3,317,261,511,51.076320939334636,True
"FALL CREEK LAKE NEAR LOWELL, OR",2022,3,318,385,511,75.34246575342466,True
"FALL CREEK LAKE NEAR LOWELL, OR",2023,3,318,183,511,35.81213307240704,True
"FALL CREEK LAKE NEAR LOWELL, OR",2024,3,319,312,511,61.05675146771037,True
"FALL CREEK LAKE NEAR LOWELL, OR",2025,3,318,333,511,65.16634050880626,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2016,4,319,942,843,111.74377224199289,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2017,4,316,934,835,111.8562874251497,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2018,4,318,851,843,100.94899169632265,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2019,4,315,956,831,115.04211793020457,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2020,4,317,743,835,88.98203592814372,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2021,4,318,791,843,93.83155397390273,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2022,4,316,849,839,101.19189511323003,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2023,4,318,888,843,105.33807829181495,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2024,4,319,942,843,111.74377224199289,True
"FERN RIDGE LAKE NEAR ELMIRA, OR",2025,4,318,929,843,110.20166073546856,True
"FOSTER LAKE AT FOSTER, OR",2016,3,319,644,697,92.39598278335724,True
"FOSTER LAKE AT FOSTER, OR",2017,3,318,688,695,98.99280575539568,True
"FOSTER LAKE AT FOSTER, OR",2018,3,318,629,695,90.50359712230215,True
"FOSTER LAKE AT FOSTER, OR",2019,3,318,754,695,108.48920863309353,True
"FOSTER LAKE AT FOSTER, OR",2020,3,319,761,697,109.18220946915352,True
"FOSTER LAKE AT FOSTER, OR",2021,3,318,735,695,105.75539568345324,True
"FOSTER LAKE AT FOSTER, OR",2022,3,318,613,695,88.20143884892086,True
