project,ramps,seasons,mean_ramp_days,median_ramp_days,min_ramp_days,max_ramp_days,median_pct_of_potential,mean_surplus_days,mean_deficit_days,incomplete_seasons
SYSTEM TOTAL,35,10,5584.4,5585.0,4391,7056,76.2,168.6,1835.9,0
"DETROIT LAKE NEAR DETROIT, OR",7,10,1059.2,1059.0,655,1439,79.4,19.5,294.6,0
"FERN RIDGE LAKE NEAR ELMIRA, OR",4,10,882.5,908.5,743,956,107.8,68.8,26.1,0
"FOSTER LAKE AT FOSTER, OR",3,10,661.1,636.5,591,761,91.4,40.3,74.8,0
"DORENA LAKE NEAR COTTAGE GROVE, OR",3,10,527.3,526.0,318,636,85.8,14.2,99.4,0
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",3,10,468.1,476.0,304,579,67.5,3.5,243.0,0
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",2,10,451.9,464.5,313,496,95.8,6.0,39.2,0
"GREEN PETER LAKE NEAR FOSTER, OR",2,10,430.4,423.5,320,517,76.4,1.8,125.5,0
"LOOKOUT POINT LAKE NEAR LOWELL, OR",4,10,389.6,395.5,4,684,48.9,4.3,352.5,1
"FALL CREEK LAKE NEAR LOWELL, OR",3,10,344.7,352.0,183,472,69.2,3.1,164.1,2
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",2,10,273.0,296.0,141,368,79.6,5.5,104.1,0
"COUGAR LAKE NEAR RAINBOW, OR",2,10,96.6,66.0,0,352,16.2,1.6,312.6,0
