date,project,site_no,elev_ft
2016-01-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.77
2016-01-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.47
2016-01-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.16
2016-01-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1191.62
2016-01-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.05
2016-01-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.41
2016-01-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.14
2016-01-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.77
2016-01-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.74
2016-01-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.84
2016-01-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.75
2016-01-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.19
2016-01-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.49
2016-01-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.73
2016-01-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.76
2016-01-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.6
2016-01-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.75
2016-01-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.37
2016-01-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.29
2016-01-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.22
2016-01-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.0
2016-01-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.59
2016-01-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.71
2016-01-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.73
2016-01-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.87
2016-01-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.99
2016-01-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.82
2016-01-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.86
2016-01-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.37
2016-01-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.51
2016-01-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.52
2016-02-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.09
2016-02-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.15
2016-02-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.44
2016-02-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.27
2016-02-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.31
2016-02-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.45
2016-02-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.95
2016-02-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.67
2016-02-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.03
2016-02-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.56
2016-02-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.25
2016-02-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.42
2016-02-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.86
2016-02-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.05
2016-02-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.98
2016-02-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.43
2016-02-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.85
2016-02-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.03
2016-02-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.58
2016-02-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.02
2016-02-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.46
2016-02-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.35
2016-02-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.51
2016-02-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.02
2016-02-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.12
2016-02-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.26
2016-02-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.65
2016-02-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.92
2016-02-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.34
2016-03-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.78
2016-03-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.37
2016-03-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.94
2016-03-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.44
2016-03-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.54
2016-03-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.14
2016-03-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.37
2016-03-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.6
2016-03-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.18
2016-03-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1189.37
2016-03-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.4
2016-03-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.37
2016-03-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.17
2016-03-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.8
2016-03-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.88
2016-03-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.72
2016-03-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.74
2016-03-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.26
2016-03-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.39
2016-03-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.89
2016-03-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.69
2016-03-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.8
2016-03-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.29
2016-03-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.0
2016-03-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.5
2016-03-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1188.68
2016-03-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.94
2016-03-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.63
2016-03-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.78
2016-03-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.81
2016-03-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.28
2016-04-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.49
2016-04-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.27
2016-04-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.3
2016-04-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.91
2016-04-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.14
2016-04-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.02
2016-04-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1191.46
2016-04-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.28
2016-04-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.92
