project,site_no,first_day,last_day,days,calendar_days,missing_days
"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,2016-01-01,2025-12-31,3645,3653,8
"BLUE RIVER LAKE NEAR BLUE RIVER, OR",14162100,2016-01-01,2025-12-31,3646,3653,7
"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",14153000,2016-01-01,2025-12-31,3651,3653,2
"COUGAR LAKE NEAR RAINBOW, OR",14159400,2016-01-01,2025-12-31,3647,3653,6
"DETROIT LAKE NEAR DETROIT, OR",14180500,2016-01-01,2025-12-31,3650,3653,3
"DEXTER LAKE AT DEXTER, OR",14149500,2016-01-01,2025-12-31,3651,3653,2
"DORENA LAKE NEAR COTTAGE GROVE, OR",14155000,2016-01-01,2025-12-31,3644,3653,9
"FALL CREEK LAKE NEAR LOWELL, OR",14150900,2016-01-01,2025-12-31,3613,3653,40
"FERN RIDGE LAKE NEAR ELMIRA, OR",14168000,2016-01-01,2025-12-31,3642,3653,11
"FOSTER LAKE AT FOSTER, OR",14186600,2016-01-01,2025-12-31,3653,3653,0
"GREEN PETER LAKE NEAR FOSTER, OR",14186100,2016-01-01,2025-12-31,3650,3653,3
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",14145100,2016-01-01,2025-12-31,3647,3653,6
"LOOKOUT POINT LAKE NEAR LOWELL, OR",14149000,2016-01-01,2025-12-31,3371,3653,282
