site_no,station_nm,lat,lon
14145100,"HILLS CREEK LAKE NEAR OAKRIDGE, OR",43.709575,-122.421111
14145500,"MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE,OR",43.72095655,-122.4378256
14149000,"LOOKOUT POINT LAKE NEAR LOWELL, OR",43.91515556,-122.7522806
14149500,"DEXTER LAKE AT DEXTER, OR",43.924375,-122.8054556
14150000,"MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR",43.9456815,-122.8372967
14150900,"FALL CREEK LAKE NEAR LOWELL, OR",43.9442931,-122.7567377
14151000,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794
14153000,"COTTAGE GROVE LAKE NR COTTAGE GROVE, OR",43.7165111,-123.0497992
14153500,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",43.72067785,-123.0497994
14155000,"DORENA LAKE NEAR COTTAGE GROVE, OR",43.78595685,-122.9553524
14155500,"ROW RIVER NEAR COTTAGE GROVE, OR",43.7929012,-122.9914655
14159400,"COUGAR LAKE NEAR RAINBOW, OR",44.1273722,-122.2447444
14159500,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391
14162100,"BLUE RIVER LAKE NEAR BLUE RIVER, OR",44.17254444,-122.3253889
14162200,"BLUE RIVER AT BLUE RIVER, OR",44.16234819,-122.3331192
14168000,"FERN RIDGE LAKE NEAR ELMIRA, OR",44.12067879,-123.3012062
14169000,"LONG TOM RIVER NEAR ALVADORE, OR",44.1226111,-123.3003056
14180500,"DETROIT LAKE NEAR DETROIT, OR",44.7220611,-122.2500583
14180520,"N SANTIAM RIVER BLW DETROIT DAM, NR DETROIT, OR",44.7254333,-122.2554167
14181400,"BIG CLIFF LAKE NEAR NIAGARA, OR",44.7511472,-122.282811
14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",44.75377778,-122.2974444
14186100,"GREEN PETER LAKE NEAR FOSTER, OR",44.45,-122.549
14186200,"MIDDLE SANTIAM R BLW GREEN PETER DAM NR FOSTER, OR",44.44818005,-122.5503613
14186600,"FOSTER LAKE AT FOSTER, OR",44.41475278,-122.670225
14187200,"SOUTH SANTIAM RIVER NEAR FOSTER, OR",44.4123468,-122.6886956
